"ProvinceID","Province","Municipality","DA - DEMOCRATIC ALLIANCE","ANC - AFRICAN NATIONAL CONGRESS","EFF - ECONOMIC FREEDOM FIGHTERS","UDM - UNITED DEMOCRATIC MOVEMENT","INDEPENDENT","UFEC - UNITED FRONT OF THE EASTERN CAPE","COPE - CONGRESS  OF THE PEOPLE","ACDP - AFRICAN CHRISTIAN DEMOCRATIC PARTY","CDP - CHRISTIAN DEMOCRATIC PARTY","AIC - AFRICAN INDEPENDENT CONGRESS","VF PLUS - VRYHEIDSFRONT PLUS","PA - PATRIOTIC ALLIANCE","PAC - PAN AFRICANIST CONGRESS OF AZANIA","AZAPO - AZANIAN PEOPLE'S ORGANISATION","AD - ALTERNATIVE DEMOCRATS","ICOSA - INDEPENDENT CIVIC ORGANISATION OF SOUTH AFRICA","UBUNTU - UBUNTU PARTY","APM - AFRICAN POWER MOVEMENT","APC - AFRICAN PEOPLE'S CONVENTION","BACS - BUILDING A COHESIVE SOCIETY","ADR - ABANTU DEMOCRATIC REVOLUTION","HIS L SHIP - HIS LORDSHIP TO SAVE AND LEAD PARTY","ACU - ACADEMIC CONGRESS UNION","MRRA - MTHATHA RATEPAYERS AND RESIDENTS ASSOCIATION","SASO - SOUTH AFRICAN SECURITY ORGANISATION","CASA - CIVIC ALLIANCE OF SOUTH AFRICA","CI - CIVIC INDEPENDENT","UP - UNITED PARTY","APSP - AFRICAN PEOPLE'S SOCIALIST PARTY","MALETSWAI CIVIC ASSOCIATION","URF - UNITED RESIDENTS FRONT","CIVIC - STERKSPRUIT CIVIC ASSOCIATION","SDF - STERKSPRUIT DEVELOPMENT FORUM","IRASA - INDEPENDENT RATEPAYERS ASSOCIATION OF SA","PAM - PAN AFRICANIST MOVEMENT","IFP - INKATHA FREEDOM PARTY","UNICO - UNITED CONGRESS","PAL - PEOPLES ALLIANCE","THI - THE HOUSE OF INDEPENDENTS","KIP - KOUKAMMA INDEPENDENT PARTY","SDO - SERVICE DELIVERY ORGANISATION"
1,"Eastern Cape","NMA - Nelson Mandela Bay",355471,311416,38951,14569,7142,7181,5587,2712,1386,7222,1917,2040,1309,661,1229,723,308,246,733,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Eastern Cape","EC444 - Ntabankulu",5307,85672,5738,782,400,NA,NA,NA,NA,2358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Eastern Cape","EC443 - Mbizana",8163,175625,13857,4107,366,NA,NA,NA,NA,5584,NA,NA,326,NA,NA,NA,NA,NA,2028,NA,377,150,5803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Eastern Cape","EC442 - Umzimvubu",11582,126064,7779,10920,720,NA,NA,NA,NA,6139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Eastern Cape","EC441 - Matatiele",14529,123785,11431,3716,1092,NA,NA,NA,NA,12324,NA,NA,NA,NA,NA,NA,NA,NA,702,NA,NA,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Eastern Cape","EC157 - King Sabata Dalindyebo",12970,175383,12554,62204,1001,NA,281,NA,NA,3882,NA,NA,1334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8663,965,665,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Eastern Cape","EC156 - Mhlontlo",4842,115583,4902,9138,3823,NA,828,NA,NA,2276,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,103,8424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Eastern Cape","EC155 - Nyandeni",8148,166167,8080,11097,2815,NA,294,NA,NA,1986,NA,NA,722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,91,34,641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Eastern Cape","EC154 - Port St Johns",7037,97962,3617,5389,393,NA,564,97,NA,1266,NA,NA,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,208,7739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Eastern Cape","EC153 - Ngquza Hill",7159,172644,12079,4470,1593,NA,1407,380,NA,4473,NA,NA,647,NA,NA,NA,NA,NA,912,NA,NA,NA,NA,NA,200,131,75,NA,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Eastern Cape","EC145 - Maletswai/Gariep",13911,40268,3408,64,51,NA,NA,NA,NA,724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2831,62,216,16,NA,NA,NA,NA,NA,NA,NA,NA
