"ElectoralEventID","ElectoralEvent","ProvinceID","Province","MunicipalityID","Municipality","RegisteredVoters","SpoiltVotes","SpecialVotes","PercVoterTurnout","TotalVotesCast","TotalValidVotes","VDCount","VDWithResultsCaptured","bResultsComplete","ReportDate","PartyBallotResults.ID","PartyBallotResults.Name","PartyBallotResults.Ward_ValidVotes","PartyBallotResults.PR_ValidVotes","PartyBallotResults.DC40Perc_ValidVotes","PartyBallotResults.TotalValidVotes","PartyBallotResults.PercOfVotes","PartyBallotResults.IsOnNational","PartyBallotResults.Color"
"1",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",52,"DA - DEMOCRATIC ALLIANCE",177920,177551,0,355471,46.71,FALSE,NA
"2",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",7,"ANC - AFRICAN NATIONAL CONGRESS",153496,157920,0,311416,40.92,FALSE,NA
"3",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",945,"EFF - ECONOMIC FREEDOM FIGHTERS",19819,19132,0,38951,5.12,FALSE,NA
"4",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",6,"UDM - UNITED DEMOCRATIC MOVEMENT",7600,6969,0,14569,1.91,FALSE,NA
"5",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",0,"INDEPENDENT",7142,0,0,7142,0.94,FALSE,NA
"6",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",1115,"UFEC - UNITED FRONT OF THE EASTERN CAPE",4133,3048,0,7181,0.94,FALSE,NA
"7",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",499,"COPE - CONGRESS  OF THE PEOPLE",2929,2658,0,5587,0.73,FALSE,NA
"8",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",18,"ACDP - AFRICAN CHRISTIAN DEMOCRATIC PARTY",1399,1313,0,2712,0.36,FALSE,NA
"9",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",5,"CDP - CHRISTIAN DEMOCRATIC PARTY",1253,133,0,1386,0.18,FALSE,NA
"10",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",330,"AIC - AFRICAN INDEPENDENT CONGRESS",1078,6144,0,7222,0.95,FALSE,NA
"11",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",4,"VF PLUS - VRYHEIDSFRONT PLUS",976,941,0,1917,0.25,FALSE,NA
"12",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",957,"PA - PATRIOTIC ALLIANCE",930,1110,0,2040,0.27,FALSE,NA
"13",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",8,"PAC - PAN AFRICANIST CONGRESS OF AZANIA",447,862,0,1309,0.17,FALSE,NA
"14",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",17,"AZAPO - AZANIAN PEOPLE'S ORGANISATION",303,358,0,661,0.09,FALSE,NA
"15",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",1116,"AD - ALTERNATIVE DEMOCRATS",287,942,0,1229,0.16,FALSE,NA
"16",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",45,"ICOSA - INDEPENDENT CIVIC ORGANISATION OF SOUTH AFRICA",256,467,0,723,0.1,FALSE,NA
"17",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",613,"UBUNTU - UBUNTU PARTY",165,143,0,308,0.04,FALSE,NA
"18",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",991,"APM - AFRICAN POWER MOVEMENT",150,96,0,246,0.03,FALSE,NA
"19",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",450,"APC - AFRICAN PEOPLE'S CONVENTION",142,591,0,733,0.1,FALSE,NA
"20",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1001,"NMA - Nelson Mandela Bay",609217,13523,8803,63.86,774560,761037,254,254,TRUE,"2021-10-30T23:03:30.8",1102,"BACS - BUILDING A COHESIVE SOCIETY",123,111,0,234,0.03,FALSE,NA
"21",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1137,"EC444 - Ntabankulu",64137,2470,953,54.22,103083,100613,136,136,TRUE,"2021-10-30T23:03:30.767",7,"ANC - AFRICAN NATIONAL CONGRESS",29115,28038,28519,85672,85.15,FALSE,NA
"22",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1137,"EC444 - Ntabankulu",64137,2470,953,54.22,103083,100613,136,136,TRUE,"2021-10-30T23:03:30.767",945,"EFF - ECONOMIC FREEDOM FIGHTERS",1924,1778,2036,5738,5.7,FALSE,NA
"23",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1137,"EC444 - Ntabankulu",64137,2470,953,54.22,103083,100613,136,136,TRUE,"2021-10-30T23:03:30.767",52,"DA - DEMOCRATIC ALLIANCE",1819,1735,1753,5307,5.27,FALSE,NA
"24",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1137,"EC444 - Ntabankulu",64137,2470,953,54.22,103083,100613,136,136,TRUE,"2021-10-30T23:03:30.767",0,"INDEPENDENT",400,0,0,400,0.4,FALSE,NA
"25",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1137,"EC444 - Ntabankulu",64137,2470,953,54.22,103083,100613,136,136,TRUE,"2021-10-30T23:03:30.767",330,"AIC - AFRICAN INDEPENDENT CONGRESS",284,1347,727,2358,2.34,FALSE,NA
"26",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1137,"EC444 - Ntabankulu",64137,2470,953,54.22,103083,100613,136,136,TRUE,"2021-10-30T23:03:30.767",1118,"ADR - ABANTU DEMOCRATIC REVOLUTION",166,141,0,307,0.31,FALSE,NA
"27",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1137,"EC444 - Ntabankulu",64137,2470,953,54.22,103083,100613,136,136,TRUE,"2021-10-30T23:03:30.767",6,"UDM - UNITED DEMOCRATIC MOVEMENT",15,391,376,782,0.78,FALSE,NA
"28",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1137,"EC444 - Ntabankulu",64137,2470,953,54.22,103083,100613,136,136,TRUE,"2021-10-30T23:03:30.767",953,"HIS L SHIP - HIS LORDSHIP TO SAVE AND LEAD PARTY",0,0,49,49,0.05,FALSE,NA
"29",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1136,"EC443 - Mbizana",131835,6242,1499,56.78,222628,216386,260,260,TRUE,"2021-10-30T23:03:30.52",7,"ANC - AFRICAN NATIONAL CONGRESS",57985,58315,59325,175625,81.16,FALSE,NA
"30",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1136,"EC443 - Mbizana",131835,6242,1499,56.78,222628,216386,260,260,TRUE,"2021-10-30T23:03:30.52",945,"EFF - ECONOMIC FREEDOM FIGHTERS",4204,4639,5014,13857,6.4,FALSE,NA
"31",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1136,"EC443 - Mbizana",131835,6242,1499,56.78,222628,216386,260,260,TRUE,"2021-10-30T23:03:30.52",1039,"ACU - ACADEMIC CONGRESS UNION",2958,2845,0,5803,2.68,FALSE,NA
"32",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1136,"EC443 - Mbizana",131835,6242,1499,56.78,222628,216386,260,260,TRUE,"2021-10-30T23:03:30.52",52,"DA - DEMOCRATIC ALLIANCE",2727,2534,2902,8163,3.77,FALSE,NA
"33",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1136,"EC443 - Mbizana",131835,6242,1499,56.78,222628,216386,260,260,TRUE,"2021-10-30T23:03:30.52",330,"AIC - AFRICAN INDEPENDENT CONGRESS",1604,1748,2232,5584,2.58,FALSE,NA
"34",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1136,"EC443 - Mbizana",131835,6242,1499,56.78,222628,216386,260,260,TRUE,"2021-10-30T23:03:30.52",450,"APC - AFRICAN PEOPLE'S CONVENTION",1059,969,0,2028,0.94,FALSE,NA
"35",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1136,"EC443 - Mbizana",131835,6242,1499,56.78,222628,216386,260,260,TRUE,"2021-10-30T23:03:30.52",6,"UDM - UNITED DEMOCRATIC MOVEMENT",688,1118,2301,4107,1.9,FALSE,NA
"36",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1136,"EC443 - Mbizana",131835,6242,1499,56.78,222628,216386,260,260,TRUE,"2021-10-30T23:03:30.52",0,"INDEPENDENT",366,0,0,366,0.17,FALSE,NA
"37",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1136,"EC443 - Mbizana",131835,6242,1499,56.78,222628,216386,260,260,TRUE,"2021-10-30T23:03:30.52",1118,"ADR - ABANTU DEMOCRATIC REVOLUTION",157,220,0,377,0.17,FALSE,NA
"38",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1136,"EC443 - Mbizana",131835,6242,1499,56.78,222628,216386,260,260,TRUE,"2021-10-30T23:03:30.52",8,"PAC - PAN AFRICANIST CONGRESS OF AZANIA",108,218,0,326,0.15,FALSE,NA
"39",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1136,"EC443 - Mbizana",131835,6242,1499,56.78,222628,216386,260,260,TRUE,"2021-10-30T23:03:30.52",953,"HIS L SHIP - HIS LORDSHIP TO SAVE AND LEAD PARTY",0,0,150,150,0.07,FALSE,NA
"40",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1031,"EC442 - Umzimvubu",103439,4713,1584,54.17,167985,163272,206,206,TRUE,"2021-10-30T23:03:30.493",7,"ANC - AFRICAN NATIONAL CONGRESS",42233,41767,42064,126064,77.21,FALSE,NA
"41",402,"LOCAL GOVERNMENT ELECTION 2016",1,"Eastern Cape",1031,"EC442 - Umzimvubu",103439,4713,1584,54.17,167985,163272,206,206,TRUE,"2021-10-30T23:03:30.493",52,"DA - DEMOCRATIC ALLIANCE",4178,3666,3738,11582,7.09,FALSE,NA
